id,name,full_name,owner,description,created_at,updated_at,pushed_at,homepage,size,stargazers_count,language,has_issues,has_downloads,has_wiki,has_pages,forks_count,open_issues_count,default_branch,matching_rate
3544424,httpie,jkbrzt/httpie,,"CLI HTTP client; user-friendly cURL replacement featuring intuitive UI, JSON support, syntax highlighting, wget-like downloads, extensions, etc.",2012-02-25T12:39:13Z,2016-01-27T07:39:11Z,2016-01-25T18:41:36Z,http://httpie.org,3762,20828,Python,TRUE,TRUE,FALSE,FALSE,1262,107,master,
596892,flask,mitsuhiko/flask,,"A microframework based on Werkzeug, Jinja2 and good intentions",2010-04-06T11:11:59Z,2016-01-27T06:54:36Z,2016-01-27T01:40:26Z,http://flask.pocoo.org/,13388,18139,Python,TRUE,TRUE,TRUE,FALSE,5556,160,master,
1362490,requests,kennethreitz/requests,,Python HTTP Requests for Humans?.,2011-02-13T18:38:17Z,2016-01-27T07:38:53Z,2016-01-22T07:12:02Z,python-requests.org,9366,17260,Python,TRUE,TRUE,TRUE,FALSE,3006,84,master,
1039520,youtube-dl,rg3/youtube-dl,,Small command-line program to download videos from YouTube.com and other video sites,2010-10-31T14:35:07Z,2016-01-27T07:24:45Z,2016-01-27T07:32:11Z,http://rg3.github.io/youtube-dl/,108360,13960,Python,TRUE,TRUE,FALSE,TRUE,2872,1398,master,
529502,scrapy,scrapy/scrapy,,"Scrapy, a fast high-level web crawling & scraping framework for Python.",2010-02-22T02:01:14Z,2016-01-27T08:03:45Z,2016-01-26T20:28:36Z,http://scrapy.org,31544,12256,Python,TRUE,FALSE,TRUE,FALSE,3455,338,master,
26516210,letsencrypt,letsencrypt/letsencrypt,,"This Let's Encrypt repo is an ACME client that can obtain certs and extensibly update server configurations (currently supports Apache on .deb based systems, nginx support coming soon)",2014-11-12T02:52:20Z,2016-01-27T07:40:19Z,2016-01-27T02:10:04Z,,14697,11510,Python,TRUE,TRUE,TRUE,FALSE,859,528,master,
2862290,Android-Universal-Image-Loader,nostra13/Android-Universal-Image-Loader,,"Powerful and flexible library for loading, caching and displaying images on Android.",2011-11-27T18:48:23Z,2016-01-27T06:56:53Z,2016-01-26T11:29:19Z,,25335,11675,Java,TRUE,TRUE,TRUE,FALSE,5389,313,master,
7508411,RxJava,ReactiveX/RxJava,,RxJava ï¿½Ã Reactive Extensions for the JVM ï¿½Ã a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,2013-01-08T20:11:48Z,2016-01-27T07:37:29Z,2016-01-27T03:49:11Z,,25375,10567,Java,TRUE,TRUE,TRUE,TRUE,1589,200,1.x,
22790488,java-design-patterns,iluwatar/java-design-patterns,,Design patterns implemented in Java,2014-08-09T16:45:18Z,2016-01-27T06:38:41Z,2016-01-27T07:42:20Z,http://java-design-patterns.com,10132,9680,Java,TRUE,TRUE,TRUE,TRUE,3165,127,master,
892275,retrofit,square/retrofit,,"Type-safe HTTP client for Android and Java by Square, Inc.",2010-09-06T21:39:43Z,2016-01-27T06:57:34Z,2016-01-26T05:54:07Z,http://square.github.io/retrofit/,59358,9546,Java,TRUE,TRUE,TRUE,TRUE,1766,44,master,
